TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths,Year,Month,MonthName,YearMonth,Quarter
17,CUST8874,ACC41829,Savings,Deposit,Savings Account,Firm E,West,Manager 4,2023-07-05,56071.53,59983.95,0.14932721,427,174,2023,7,Jul,2023-07,3
87,CUST2694,ACC49422,Credit,Deposit,Savings Account,Firm B,East,Manager 1,2024-01-12,84272.72,158010.59,0.348510014,664,234,2024,1,Jan,2024-01,1
21,CUST9248,ACC21264,Current,Transfer,Credit Card,Firm A,South,Manager 2,2023-09-26,107469.87,16320.64,0.669342904,737,42,2023,9,Sep,2023-09,3
45,CUST5500,ACC78581,Current,Withdrawal,Mutual Fund,Firm A,North,Manager 4,2023-08-22,97319.13,54321.86,1.068751471,389,77,2023,8,Aug,2023-08,3
86,CUST5920,ACC45968,Credit,Withdrawal,Credit Card,Firm E,West,Manager 1,2024-03-22,41370.49,54037.45,0.247543133,509,74,2024,3,Mar,2024-03,1
45,CUST7255,ACC28305,Loan,Payment,Savings Account,Firm D,West,Manager 1,2024-04-16,70859.8,42987.1,0.488828668,720,127,2024,4,Apr,2024-04,2
137,CUST6937,ACC21429,Loan,Deposit,Mutual Fund,Firm D,North,Manager 4,2023-03-08,54266.42,51965.76,0.766783829,660,8,2023,3,Mar,2023-03,1
24,CUST6526,ACC22036,Current,Withdrawal,Mutual Fund,Firm C,North,Manager 4,2023-11-06,26928.54,130969.95,0.710901325,650,228,2023,11,Nov,2023-11,4
26,CUST4258,ACC10117,Loan,Transfer,Home Loan,Firm D,South,Manager 2,2024-01-12,51263.08,71720.72,0.375031775,522,156,2024,1,Jan,2024-01,1
197,CUST2942,ACC94907,Loan,Deposit,Savings Account,Firm B,West,Manager 3,2024-03-01,40232.33,82512.15,0.494039913,381,131,2024,3,Mar,2024-03,1
168,CUST9038,ACC97411,Savings,Withdrawal,Home Loan,Firm D,South,Manager 3,2024-05-24,26961.53,82739.85,0.360150348,655,120,2024,5,May,2024-05,2
85,CUST1547,ACC51200,Credit,Withdrawal,Credit Card,Firm E,West,Manager 3,2023-08-11,50230.03,112218.42,0.314522713,328,190,2023,8,Aug,2023-08,3
130,CUST3378,ACC95774,Savings,Transfer,Mutual Fund,Firm B,East,Manager 3,2024-04-01,51863.94,47639.39,0.191819181,629,79,2024,4,Apr,2024-04,2
23,CUST2427,ACC49180,Current,Deposit,Mutual Fund,Firm D,Central,Manager 4,2023-03-26,49730.36,68419.92,0.36296673,691,111,2023,3,Mar,2023-03,1
191,CUST1962,ACC19156,Loan,Deposit,Savings Account,Firm C,Central,Manager 3,2023-10-19,60352.03,107420.67,0.118284026,644,83,2023,10,Oct,2023-10,4
63,CUST6028,ACC46655,Loan,Payment,Personal Loan,Firm A,South,Manager 3,2023-10-04,34609.35,58062.0,0.252118047,454,23,2023,10,Oct,2023-10,4
154,CUST4684,ACC49180,Savings,Payment,Home Loan,Firm C,East,Manager 2,2024-03-12,70546.82,71713.25,0.313182311,309,26,2024,3,Mar,2024-03,1
120,CUST3109,ACC16241,Current,Withdrawal,Personal Loan,Firm B,South,Manager 1,2023-08-16,76719.96,66713.98,0.305677272,444,54,2023,8,Aug,2023-08,3
186,CUST9420,ACC70460,Current,Payment,Home Loan,Firm B,Central,Manager 3,2023-05-29,85979.37,49283.85,0.357729149,690,174,2023,5,May,2023-05,2
106,CUST2842,ACC62446,Credit,Withdrawal,Home Loan,Firm C,West,Manager 3,2023-10-20,48977.93,66955.43,-0.014391066,336,73,2023,10,Oct,2023-10,4
28,CUST1768,ACC90887,Savings,Deposit,Mutual Fund,Firm C,West,Manager 1,2023-06-19,79406.91,98438.28,0.244233469,475,123,2023,6,Jun,2023-06,2
72,CUST1887,ACC67713,Current,Transfer,Personal Loan,Firm B,Central,Manager 4,2023-05-15,34273.32,85988.71,0.442011501,480,55,2023,5,May,2023-05,2
44,CUST6837,ACC78581,Loan,Withdrawal,Home Loan,Firm B,Central,Manager 1,2024-02-21,-1714.01,92170.72,0.651858007,750,7,2024,2,Feb,2024-02,1
19,CUST8660,ACC21878,Loan,Transfer,Mutual Fund,Firm B,North,Manager 4,2023-01-28,-5999.83,120559.81,0.726679529,537,122,2023,1,Jan,2023-01,1
48,CUST9843,ACC24880,Loan,Deposit,Savings Account,Firm B,North,Manager 2,2024-05-28,97613.15,46682.44,0.333824297,592,237,2024,5,May,2024-05,2
144,CUST1747,ACC28295,Credit,Deposit,Personal Loan,Firm B,South,Manager 4,2023-10-03,99540.38,99148.69,0.455239894,661,51,2023,10,Oct,2023-10,4
33,CUST9420,ACC48501,Loan,Withdrawal,Mutual Fund,Firm B,Central,Manager 2,2023-07-01,64702.62,82796.28,0.086952975,378,67,2023,7,Jul,2023-07,3
148,CUST8765,ACC53865,Current,Transfer,Home Loan,Firm D,North,Manager 1,2024-02-05,46714.21,71086.91,0.383167103,570,215,2024,2,Feb,2024-02,1
133,CUST2626,ACC64022,Loan,Withdrawal,Personal Loan,Firm B,East,Manager 3,2023-11-17,45271.89,87001.85,0.01570544,474,166,2023,11,Nov,2023-11,4
1,CUST2357,ACC32627,Credit,Payment,Mutual Fund,Firm A,West,Manager 3,2023-10-26,15770.63,104346.98,0.88933037,534,82,2023,10,Oct,2023-10,4
6,CUST1555,ACC61926,Credit,Withdrawal,Mutual Fund,Firm A,South,Manager 4,2024-06-13,58097.33,69864.12,0.468016425,513,166,2024,6,Jun,2024-06,2
52,CUST3609,ACC51200,Current,Deposit,Personal Loan,Firm B,South,Manager 4,2023-12-09,91008.7,74938.77,0.644764684,499,62,2023,12,Dec,2023-12,4
82,CUST9038,ACC20297,Savings,Payment,Credit Card,Firm B,East,Manager 2,2023-07-06,83876.7,130460.16,0.261609512,511,69,2023,7,Jul,2023-07,3
2,CUST9420,ACC11188,Current,Transfer,Home Loan,Firm E,West,Manager 3,2023-02-04,25995.8,47773.37,0.313474625,560,162,2023,2,Feb,2023-02,1
199,CUST7793,ACC92558,Current,Transfer,Credit Card,Firm D,North,Manager 2,2023-08-11,79243.78,25514.78,0.596155249,584,134,2023,8,Aug,2023-08,3
145,CUST9066,ACC95774,Loan,Withdrawal,Credit Card,Firm B,North,Manager 4,2023-10-24,57287.73,115204.97,0.651513806,749,141,2023,10,Oct,2023-10,4
7,CUST2915,ACC87006,Savings,Withdrawal,Credit Card,Firm D,South,Manager 4,2023-05-03,50019.81,78870.47,0.511598155,382,146,2023,5,May,2023-05,2
126,CUST4669,ACC11285,Current,Payment,Home Loan,Firm A,West,Manager 3,2023-02-12,6075.6,36464.73,0.328162855,323,148,2023,2,Feb,2023-02,1
63,CUST5894,ACC39161,Credit,Deposit,Mutual Fund,Firm B,West,Manager 3,2023-03-16,48979.24,51206.43,0.886257305,731,203,2023,3,Mar,2023-03,1
150,CUST4373,ACC45951,Loan,Payment,Personal Loan,Firm A,West,Manager 4,2024-05-24,54576.49,37458.7,0.263085743,839,72,2024,5,May,2024-05,2
173,CUST9666,ACC94203,Savings,Payment,Savings Account,Firm C,West,Manager 3,2023-08-04,65314.65,93430.38,0.370492659,322,68,2023,8,Aug,2023-08,3
191,CUST2188,ACC94242,Savings,Withdrawal,Credit Card,Firm E,North,Manager 3,2023-12-09,64798.74,28400.81,0.565988735,637,28,2023,12,Dec,2023-12,4
97,CUST5428,ACC62446,Savings,Deposit,Personal Loan,Firm B,East,Manager 1,2023-11-08,92911.86,86086.53,0.548660609,756,100,2023,11,Nov,2023-11,4
24,CUST4625,ACC26956,Loan,Deposit,Home Loan,Firm E,South,Manager 2,2023-02-12,48467.23,30176.16,0.4929176,308,139,2023,2,Feb,2023-02,1
163,CUST4360,ACC70460,Credit,Transfer,Mutual Fund,Firm D,Central,Manager 1,2023-11-19,97272.59,136663.78,0.618418171,500,149,2023,11,Nov,2023-11,4
125,CUST3187,ACC78581,Loan,Withdrawal,Mutual Fund,Firm B,West,Manager 3,2023-09-30,24512.33,29070.04,0.313900591,615,142,2023,9,Sep,2023-09,3
115,CUST5664,ACC11837,Savings,Withdrawal,Mutual Fund,Firm E,West,Manager 1,2023-08-22,6874.36,78279.49,0.314240841,843,217,2023,8,Aug,2023-08,3
108,CUST2357,ACC71388,Savings,Deposit,Savings Account,Firm C,East,Manager 4,2024-03-23,77455.19,92533.46,0.555905728,521,115,2024,3,Mar,2024-03,1
168,CUST6038,ACC51200,Savings,Deposit,Home Loan,Firm E,North,Manager 1,2023-11-17,110232.34,73199.69,0.420241131,782,165,2023,11,Nov,2023-11,4
111,CUST9535,ACC25811,Current,Payment,Credit Card,Firm E,South,Manager 2,2023-03-10,105399.98,112062.19,0.799362505,372,86,2023,3,Mar,2023-03,1
84,CUST4684,ACC10996,Loan,Withdrawal,Credit Card,Firm D,South,Manager 3,2023-01-21,104027.85,98169.33,0.619747654,504,47,2023,1,Jan,2023-01,1
69,CUST8091,ACC31902,Current,Transfer,Mutual Fund,Firm D,East,Manager 2,2023-04-14,18864.43,64462.94,0.399141702,618,14,2023,4,Apr,2023-04,2
34,CUST2109,ACC83005,Credit,Withdrawal,Credit Card,Firm E,West,Manager 2,2023-06-01,64067.19,29965.9,0.218534635,335,239,2023,6,Jun,2023-06,2
127,CUST3602,ACC49180,Credit,Payment,Personal Loan,Firm B,North,Manager 2,2023-10-04,51410.44,72847.72,0.87783306,666,229,2023,10,Oct,2023-10,4
182,CUST8461,ACC22255,Loan,Deposit,Personal Loan,Firm C,South,Manager 4,2023-11-21,65936.42,79602.94,0.569668533,450,69,2023,11,Nov,2023-11,4
140,CUST3315,ACC96277,Current,Withdrawal,Home Loan,Firm B,West,Manager 1,2023-03-16,7331.09,47794.96,0.568747927,404,217,2023,3,Mar,2023-03,1
47,CUST7028,ACC51593,Current,Deposit,Personal Loan,Firm D,North,Manager 2,2023-07-26,42581.64,66982.72,0.305143421,723,119,2023,7,Jul,2023-07,3
146,CUST2443,ACC87006,Credit,Deposit,Credit Card,Firm A,North,Manager 4,2024-05-24,67744.48,84165.4,0.710062089,386,119,2024,5,May,2024-05,2
95,CUST1376,ACC77592,Savings,Payment,Savings Account,Firm A,North,Manager 3,2023-02-10,39315.23,69166.03,0.695498308,426,23,2023,2,Feb,2023-02,1
132,CUST7493,ACC49422,Current,Transfer,Personal Loan,Firm A,South,Manager 4,2024-05-27,63300.25,106230.64,0.367278271,443,49,2024,5,May,2024-05,2
115,CUST3810,ACC72197,Savings,Withdrawal,Savings Account,Firm D,East,Manager 4,2024-03-23,112826.34,42877.33,0.579984933,578,89,2024,3,Mar,2024-03,1
6,CUST7459,ACC24880,Credit,Transfer,Credit Card,Firm C,Central,Manager 1,2023-04-23,10774.51,66656.13,0.447620322,760,144,2023,4,Apr,2023-04,2
110,CUST4595,ACC80442,Savings,Payment,Savings Account,Firm E,West,Manager 1,2024-02-08,1084.75,101852.02,0.542251157,773,173,2024,2,Feb,2024-02,1
115,CUST6526,ACC71938,Credit,Withdrawal,Personal Loan,Firm E,North,Manager 1,2024-01-12,97611.73,92037.6,0.350210435,458,164,2024,1,Jan,2024-01,1
180,CUST6029,ACC96868,Current,Payment,Credit Card,Firm C,South,Manager 3,2023-04-30,88102.3,137051.36,0.543287129,401,14,2023,4,Apr,2023-04,2
182,CUST8390,ACC21878,Current,Payment,Savings Account,Firm B,East,Manager 1,2023-03-18,15265.66,84502.18,-0.087142389,769,103,2023,3,Mar,2023-03,1
165,CUST8874,ACC15228,Current,Deposit,Mutual Fund,Firm B,North,Manager 3,2024-04-15,46141.12,106726.62,0.037415997,372,46,2024,4,Apr,2024-04,2
96,CUST8266,ACC45521,Savings,Payment,Credit Card,Firm D,Central,Manager 3,2024-03-12,18716.25,90481.08,0.549438017,667,172,2024,3,Mar,2024-03,1
80,CUST7255,ACC76597,Current,Transfer,Credit Card,Firm C,South,Manager 1,2023-06-06,103318.25,72932.76,0.419833525,812,99,2023,6,Jun,2023-06,2
150,CUST3069,ACC45951,Credit,Withdrawal,Credit Card,Firm B,Central,Manager 1,2023-04-14,43001.07,71265.57,0.588504706,598,182,2023,4,Apr,2023-04,2
50,CUST3109,ACC64785,Savings,Withdrawal,Savings Account,Firm B,North,Manager 4,2023-10-03,27766.51,141705.87,0.379717332,526,144,2023,10,Oct,2023-10,4
9,CUST2699,ACC45101,Credit,Withdrawal,Home Loan,Firm A,Central,Manager 3,2023-08-22,50578.1,40912.42,0.178077344,379,66,2023,8,Aug,2023-08,3
39,CUST7493,ACC39544,Credit,Payment,Credit Card,Firm B,West,Manager 1,2023-11-28,72230.51,21903.88,0.290151342,496,128,2023,11,Nov,2023-11,4
89,CUST4794,ACC39500,Current,Deposit,Savings Account,Firm C,West,Manager 4,2023-10-18,3392.8,114031.66,0.778757855,539,19,2023,10,Oct,2023-10,4
59,CUST1498,ACC97411,Loan,Transfer,Home Loan,Firm B,Central,Manager 2,2023-03-26,50949.04,65364.14,0.661364118,525,57,2023,3,Mar,2023-03,1
191,CUST7855,ACC99117,Credit,Deposit,Personal Loan,Firm C,North,Manager 1,2023-10-04,92159.6,106391.25,0.42571974,699,211,2023,10,Oct,2023-10,4
194,CUST9535,ACC97225,Loan,Payment,Credit Card,Firm B,Central,Manager 1,2023-08-10,16722.05,66923.59,0.125626231,519,96,2023,8,Aug,2023-08,3
109,CUST4360,ACC92104,Savings,Payment,Credit Card,Firm B,East,Manager 1,2023-08-06,79229.02,129603.63,0.232123351,820,53,2023,8,Aug,2023-08,3
80,CUST9439,ACC88252,Savings,Deposit,Home Loan,Firm B,West,Manager 2,2023-06-10,57661.58,55105.14,0.400270196,772,155,2023,6,Jun,2023-06,2
90,CUST9535,ACC34821,Loan,Transfer,Credit Card,Firm A,Central,Manager 2,2023-08-22,68280.3,6568.93,0.954908078,735,99,2023,8,Aug,2023-08,3
145,CUST9066,ACC76549,Loan,Deposit,Personal Loan,Firm E,East,Manager 2,2023-11-28,59801.52,118665.94,0.401286895,686,12,2023,11,Nov,2023-11,4
194,CUST2357,ACC21878,Savings,Payment,Personal Loan,Firm D,West,Manager 4,2023-11-19,82247.48,111743.97,0.46365037,675,217,2023,11,Nov,2023-11,4
166,CUST8660,ACC95164,Current,Transfer,Mutual Fund,Firm E,East,Manager 3,2024-02-13,-183.08,108673.39,0.397686784,667,175,2024,2,Feb,2024-02,1
134,CUST8772,ACC34119,Credit,Deposit,Savings Account,Firm E,North,Manager 1,2023-06-06,3793.42,116896.44,0.338728181,829,133,2023,6,Jun,2023-06,2
107,CUST1913,ACC60432,Credit,Deposit,Home Loan,Firm E,East,Manager 3,2023-01-21,12678.28,19089.63,0.466083905,665,201,2023,1,Jan,2023-01,1
169,CUST1223,ACC77592,Loan,Withdrawal,Credit Card,Firm C,West,Manager 2,2023-01-12,-7084.03,69093.0,0.35622685,706,102,2023,1,Jan,2023-01,1
184,CUST9169,ACC76597,Current,Deposit,Mutual Fund,Firm A,Central,Manager 3,2024-01-17,68546.49,49963.45,0.060823425,665,160,2024,1,Jan,2024-01,1
50,CUST6526,ACC73104,Current,Deposit,Savings Account,Firm A,East,Manager 3,2023-12-10,34718.42,124142.64,0.350739395,688,208,2023,12,Dec,2023-12,4
54,CUST2578,ACC78589,Credit,Withdrawal,Savings Account,Firm A,South,Manager 4,2023-09-06,77094.3,-25971.51,0.405283075,519,227,2023,9,Sep,2023-09,3
154,CUST6525,ACC45907,Savings,Transfer,Savings Account,Firm C,West,Manager 4,2023-01-21,48624.48,37246.65,0.062627311,662,75,2023,1,Jan,2023-01,1
81,CUST3602,ACC61926,Credit,Deposit,Mutual Fund,Firm B,South,Manager 2,2023-07-30,39612.15,88222.33,0.016266927,400,37,2023,7,Jul,2023-07,3
75,CUST4595,ACC81631,Credit,Payment,Savings Account,Firm C,West,Manager 3,2024-05-28,24913.41,86574.96,0.3036655,848,113,2024,5,May,2024-05,2
60,CUST3006,ACC25811,Savings,Deposit,Home Loan,Firm A,South,Manager 3,2023-03-03,23364.51,60342.87,0.762857502,334,100,2023,3,Mar,2023-03,1
166,CUST5351,ACC96277,Loan,Deposit,Savings Account,Firm C,North,Manager 2,2024-01-04,77677.37,41776.46,0.568868556,753,145,2024,1,Jan,2024-01,1
152,CUST1888,ACC82298,Loan,Transfer,Credit Card,Firm B,Central,Manager 2,2024-06-07,30821.14,90619.69,0.517305847,311,64,2024,6,Jun,2024-06,2
21,CUST4438,ACC16664,Credit,Withdrawal,Credit Card,Firm C,Central,Manager 1,2023-10-31,44558.29,121751.65,0.457272647,833,172,2023,10,Oct,2023-10,4
173,CUST6210,ACC74631,Savings,Deposit,Home Loan,Firm C,South,Manager 4,2023-01-08,72738.26,-8820.48,0.705421431,743,23,2023,1,Jan,2023-01,1
76,CUST4625,ACC51009,Credit,Payment,Credit Card,Firm E,West,Manager 3,2023-09-26,41601.22,69330.01,0.438426892,404,184,2023,9,Sep,2023-09,3
97,CUST4780,ACC29646,Savings,Deposit,Savings Account,Firm D,North,Manager 4,2023-09-30,103790.4,160302.74,0.411270749,746,63,2023,9,Sep,2023-09,3
199,CUST6937,ACC51971,Credit,Withdrawal,Mutual Fund,Firm D,Central,Manager 4,2023-03-07,38288.44,69698.13,0.521303045,474,137,2023,3,Mar,2023-03,1
88,CUST3187,ACC21264,Savings,Deposit,Home Loan,Firm A,East,Manager 2,2024-06-13,55651.11,50613.39,0.683184629,488,227,2024,6,Jun,2024-06,2
176,CUST5253,ACC16241,Current,Deposit,Mutual Fund,Firm E,West,Manager 3,2023-10-16,54255.23,133340.05,0.62653682,782,195,2023,10,Oct,2023-10,4
20,CUST5558,ACC35419,Credit,Deposit,Savings Account,Firm E,West,Manager 4,2023-05-11,32955.23,42663.66,0.868880736,371,206,2023,5,May,2023-05,2
88,CUST6330,ACC30852,Current,Withdrawal,Home Loan,Firm B,East,Manager 2,2023-03-16,91479.54,88755.29,0.61914976,636,6,2023,3,Mar,2023-03,1
116,CUST7730,ACC24070,Credit,Withdrawal,Personal Loan,Firm A,West,Manager 1,2023-04-09,99268.01,23785.61,0.334841885,325,184,2023,4,Apr,2023-04,2
51,CUST6937,ACC47099,Credit,Withdrawal,Home Loan,Firm A,North,Manager 4,2023-12-10,48897.79,50617.74,0.402988001,496,116,2023,12,Dec,2023-12,4
171,CUST4241,ACC11188,Credit,Payment,Personal Loan,Firm A,West,Manager 3,2023-01-28,69942.46,132342.72,0.66521353,360,158,2023,1,Jan,2023-01,1
129,CUST7651,ACC49395,Credit,Deposit,Savings Account,Firm D,East,Manager 1,2023-09-10,32073.34,52800.75,0.223141849,687,185,2023,9,Sep,2023-09,3
22,CUST2427,ACC81631,Current,Payment,Home Loan,Firm C,South,Manager 1,2023-01-15,-13660.24,89158.97,0.738999336,798,142,2023,1,Jan,2023-01,1
42,CUST5610,ACC82947,Savings,Payment,Personal Loan,Firm B,West,Manager 4,2024-06-11,93043.92,46835.57,0.24535058,396,90,2024,6,Jun,2024-06,2
89,CUST6210,ACC45521,Savings,Transfer,Personal Loan,Firm A,North,Manager 4,2023-10-22,30354.69,52197.81,0.588288443,666,44,2023,10,Oct,2023-10,4
42,CUST8390,ACC48303,Current,Payment,Savings Account,Firm D,South,Manager 2,2023-04-30,57690.73,93029.96,0.823038294,358,36,2023,4,Apr,2023-04,2
110,CUST9079,ACC91220,Current,Withdrawal,Home Loan,Firm B,Central,Manager 3,2023-03-26,64004.11,77822.25,0.451222165,750,217,2023,3,Mar,2023-03,1
140,CUST6565,ACC58078,Savings,Deposit,Home Loan,Firm E,North,Manager 3,2023-06-19,24753.22,59125.82,0.536029725,320,46,2023,6,Jun,2023-06,2
193,CUST9564,ACC19156,Loan,Withdrawal,Home Loan,Firm B,South,Manager 4,2024-06-11,94882.0,81531.72,0.360505027,817,147,2024,6,Jun,2024-06,2
63,CUST6525,ACC96868,Loan,Transfer,Home Loan,Firm B,West,Manager 3,2024-02-09,91884.89,43194.39,0.413990588,647,194,2024,2,Feb,2024-02,1
39,CUST4402,ACC64785,Loan,Deposit,Credit Card,Firm A,East,Manager 1,2024-03-19,44834.13,109854.33,0.226049324,564,41,2024,3,Mar,2024-03,1
61,CUST8390,ACC88286,Current,Deposit,Credit Card,Firm E,North,Manager 1,2024-02-05,64763.06,60431.89,0.505670361,791,58,2024,2,Feb,2024-02,1
41,CUST9248,ACC88252,Savings,Deposit,Mutual Fund,Firm A,South,Manager 1,2024-02-04,22725.76,-7644.95,0.289784626,592,153,2024,2,Feb,2024-02,1
144,CUST4461,ACC91723,Credit,Withdrawal,Mutual Fund,Firm B,West,Manager 1,2024-02-18,49556.53,35571.09,0.168057221,582,25,2024,2,Feb,2024-02,1
22,CUST3602,ACC99549,Loan,Transfer,Credit Card,Firm B,West,Manager 2,2023-02-21,120355.4,69135.0,0.273988573,713,16,2023,2,Feb,2023-02,1
30,CUST4855,ACC46655,Loan,Withdrawal,Savings Account,Firm E,South,Manager 1,2023-05-24,33231.36,106659.53,0.388407281,318,50,2023,5,May,2023-05,2
108,CUST1747,ACC75675,Credit,Withdrawal,Mutual Fund,Firm A,West,Manager 4,2023-05-21,11653.14,91194.19,-0.089433394,486,13,2023,5,May,2023-05,2
120,CUST6292,ACC55729,Current,Transfer,Mutual Fund,Firm B,North,Manager 3,2023-09-08,31050.64,89195.12,0.886207755,456,83,2023,9,Sep,2023-09,3
114,CUST8390,ACC47099,Credit,Deposit,Home Loan,Firm C,South,Manager 1,2023-06-19,73824.04,81787.75,0.875085326,603,81,2023,6,Jun,2023-06,2
87,CUST1768,ACC10996,Credit,Deposit,Mutual Fund,Firm D,East,Manager 2,2023-06-19,60870.24,119800.29,0.703211664,622,109,2023,6,Jun,2023-06,2
59,CUST4855,ACC69323,Loan,Withdrawal,Credit Card,Firm E,South,Manager 3,2024-03-28,57637.67,112935.05,0.564062804,604,193,2024,3,Mar,2024-03,1
18,CUST3725,ACC70460,Savings,Withdrawal,Credit Card,Firm C,South,Manager 4,2023-04-23,71021.49,104207.68,0.634333166,596,32,2023,4,Apr,2023-04,2
171,CUST2578,ACC49774,Savings,Withdrawal,Personal Loan,Firm E,Central,Manager 4,2023-08-04,32801.42,119713.71,0.418582613,751,10,2023,8,Aug,2023-08,3
38,CUST3378,ACC58078,Credit,Withdrawal,Credit Card,Firm E,South,Manager 4,2023-04-14,17023.94,73031.32,0.211304014,394,239,2023,4,Apr,2023-04,2
173,CUST5255,ACC64393,Current,Deposit,Credit Card,Firm B,West,Manager 4,2023-06-19,115891.21,28570.56,0.369551008,470,20,2023,6,Jun,2023-06,2
185,CUST8461,ACC45521,Current,Deposit,Credit Card,Firm D,South,Manager 2,2023-02-04,28242.44,67613.26,0.254922721,777,87,2023,2,Feb,2023-02,1
36,CUST5253,ACC91723,Loan,Payment,Credit Card,Firm D,North,Manager 4,2023-10-04,72372.14,106429.55,0.295206316,478,175,2023,10,Oct,2023-10,4
46,CUST1498,ACC35419,Loan,Withdrawal,Credit Card,Firm A,North,Manager 1,2023-10-18,48616.72,44328.27,0.498449624,674,121,2023,10,Oct,2023-10,4
39,CUST6525,ACC96277,Loan,Transfer,Credit Card,Firm D,West,Manager 4,2023-02-04,63589.01,69819.61,0.821272699,790,36,2023,2,Feb,2023-02,1
7,CUST2626,ACC76699,Loan,Payment,Credit Card,Firm D,North,Manager 3,2023-08-17,78499.37,30224.38,0.673567224,536,150,2023,8,Aug,2023-08,3
102,CUST4003,ACC57700,Loan,Transfer,Savings Account,Firm D,Central,Manager 4,2023-10-24,28411.97,50313.01,0.721532,491,172,2023,10,Oct,2023-10,4
181,CUST4780,ACC96277,Loan,Withdrawal,Savings Account,Firm A,West,Manager 3,2023-01-13,50387.13,64611.52,0.707731742,490,178,2023,1,Jan,2023-01,1
107,CUST8390,ACC49140,Loan,Payment,Mutual Fund,Firm E,South,Manager 2,2023-09-24,105288.42,37584.56,0.676434762,346,227,2023,9,Sep,2023-09,3
155,CUST2716,ACC74656,Loan,Payment,Home Loan,Firm C,North,Manager 2,2024-05-24,66091.11,75790.09,0.377153841,800,138,2024,5,May,2024-05,2
90,CUST2694,ACC83269,Loan,Deposit,Personal Loan,Firm B,East,Manager 2,2023-05-29,98924.64,78153.08,0.187625073,825,212,2023,5,May,2023-05,2
